ID,GRUPO_INSTITUCION,NOMBRE,MUNICIPIO,LOCALIDAD,LATITUD,LONGITUD,CONECTIVIDAD,DISTANCIA_TORRE_ESTATAL_CERCANA,TORRE_CERCANA_COORD,PROVEEDOR_PUBLICO,IPC,,,,
3475,SEGURIDAD,ITAMA - OFICINAS GENERALES,HERMOSILLO,HERMOSILLO,29.07171448,-110.958646,CONECTADA,0.31,"29.0744732, -110.9584987",0,NIVEL 2 (MEDIO),,,,
3526,SEGURIDAD,CENTRO FEDERAL DE READAPTACION SOCIAL,HERMOSILLO,LA HABANA TRES,28.9716862,-111.2948458,CONECTADA,15.54,"28.85721389, -111.3863694",0,NIVEL 2 (MEDIO),,,,
3512,SEGURIDAD,AGENCIA MINISTERIAL DE INVESTIGACION CRIMINAL - QUIRIEGO,QUIRIEGO,QUIRIEGO,27.518318,-109.253965,CONECTADA,0.38,"27.52069, -109.251259",1,NIVEL 1 (BAJO),,,,
3513,SEGURIDAD,AGENCIA MINISTERIAL DE INVESTIGACION CRIMINAL - ROSARIO,ROSARIO,ROSARIO,27.841968,-109.373232,CONECTADA,0.29,"27.840604, -109.370759",1,NIVEL 1 (BAJO),,,,
3514,SEGURIDAD,AGENCIA DEL MINISTERIO PÚBLICO - ROSARIO,ROSARIO,ROSARIO,27.841967,-109.373042,CONECTADA,0.27,"27.840604, -109.370759",1,NIVEL 1 (BAJO),,,,
3492,SEGURIDAD,CENTRO DE COMANDO COMUNICACION COMPUTO Y COORDINACION DE INTELIGENCIA,HERMOSILLO,HERMOSILLO,29.064845,-111.048111,CONECTADA,0.12,"29.06376, -111.048102",0,NIVEL 2 (MEDIO),,,,
3493,SEGURIDAD,COORDINACION ESTATAL DE ADMINISTRACION  EVALUACION Y CONTROL,HERMOSILLO,HERMOSILLO,29.092897,-110.981263,CONECTADA,0.58,"29.09152931, -110.9754964",0,NIVEL 2 (MEDIO),,,,
3494,SEGURIDAD,COORDINACION ESTATAL DE LA POLICIA ESTATAL DE SEGURIDAD PÚBLICA,HERMOSILLO,HERMOSILLO,29.093736,-110.984175,CONECTADA,0.88,"29.09152931, -110.9754964",0,NIVEL 2 (MEDIO),,,,
3509,SEGURIDAD,AGENCIA DEL MINISTERIO PÚBLICO - BACADEHUACHI,BACADEHUACHI,BACADEHUACHI,29.814174,-109.140927,CONECTADA,0.61,"29.80873, -109.14072",1,NIVEL 1 (BAJO),,,,
3510,SEGURIDAD,AGENCIA DEL MINISTERIO PÚBLICO - SAHUARIPA,SAHUARIPA,SAHUARIPA,29.056348,-109.233421,CONECTADA,0,"29.056386, -109.233431",1,NIVEL 1 (BAJO),,,,
3476,SEGURIDAD,ITAMA - HERMOSILLO II FEMENIL,HERMOSILLO,HERMOSILLO,29.04248876,-110.9803153,CONECTADA,3.4,"29.064011, -110.955496",0,NIVEL 2 (MEDIO),,,,
