ID_INSTITUCION,INSTITUCION,PROVEEDOR,COSTO,TORRE_CERCANA,LATITUD_TORRE,LONGITUD_TORRE,DIST_KM
3563,UNIVERSIDAD DE LA SIERRA,TELMEX,,UNIVERSIDAD DE LA SIERRA DE MOCTEZUMA,29.823617,-109.67851,0
3660,CECAP,TELMEX,1292.24,OFICINA DE TELEFONIA RURAL DE SONORA (EDIFICIO MEXICO),29.06757,-110.95845,0
1399,RICARDO MONTIJO CASTRO,TELMEX,,NACO,31.327333,-109.948686,0
3226,HOSPITAL GENERAL DE OBREGON,MEGACABLE,,HOSPITAL GENERAL DE OBREGON,27.4836,-109.955,0
2981,PLANTEL PLUTARCO ELIAS CALLES (AGUA PRIETA),TELMEX,,PLANTEL PLUTARCO ELIAS CALLES,31.31572352,-109.5550348,0
3495,CENTRO ESTATAL DE INFORMACION SOBRE SEGURIDAD PUBLICA,TELMEX,,SSP ESPEJO,29.09152931,-110.9754964,0.01
3491,DESPACHO DEL TITULAR DE LA SECRETARIA,TOTAL PLAY,,CESPEJO,29.09162451,-110.9754325,0.01
3616,SERVICIOS DE SALUD DE SONORA,TELMEX,1449.19,OFICINA DE TELEFONIA RURAL DE SONORA (EDIFICIO MEXICO),29.06757,-110.95845,0.01
3758,TELEFONIA RURAL DE SONORA,TELMEX,2404.31,EDIFICIO SONORA,29.06842354,-110.9572519,0.01
3505,C5I NOGALES,TOTAL PLAY,,(TZ-45) TORRE C5 NOGALES,31.29025556,-110.9511556,0.01
3759,TELEFONIA RURAL DE SONORA,TELMEX,2404.31,EDIFICIO SONORA,29.06842354,-110.9572519,0.01
3223,HOSPITAL GENERAL DEL BAJO RIO MAYO,TELMEX,,(TZ-30) TORRE HOSPITAL GRAL. HUATABAMPO,26.84247222,-109.6411222,0.01
3504,C5I NAVOJOA,TELMEX,,(TZ-45) TORRE C4 NUEVO,27.07895278,-109.443525,0.01
3762,TELEFONIA RURAL DE SONORA,TELMEX,2404.31,UNIVERSIDAD DE LA SIERRA DE MOCTEZUMA,29.823617,-109.67851,0.01
3720,SEC,TELMEX,2404.31,(TZ-45) TORRE SUBCENTRO CABORCA,30.727575,-112.1619417,0.01
3767,TELEFONIA RURAL DE SONORA,TELMEX,0,H. AYUNTAMIENTO DE SAHUARIPA 1,29.05642,-109.23342,0.01
3499,C5I SAN LUIS RIO COLORADO,TOTAL PLAY,,C5 SAN LUIS RIO COLORADO,32.456613,-114.746291,0.01
3760,TELEFONIA RURAL DE SONORA,TELMEX,2404.31,UNIVERSIDAD DE LA SIERRA DE MOCTEZUMA,29.823617,-109.67851,0.01
3602,SUBSECRETARIA DE INGRESOS,TELMEX,2404.31,BMXDGR,29.07631845,-110.9570658,0.01
3428,HOSPITAL GENERAL DEL BAJO RIO MAYO,TELMEX,,HOSPITAL GENERAL,26.842562,-109.641426,0.01
3757,TELEFONIA RURAL DE SONORA,TELMEX,2404.31,EDIFICIO SONORA,29.06842354,-110.9572519,0.01
3719,SEC,TELMEX,2404.31,TORRE C4,27.52598056,-109.9302889,0.01
3718,UNIVERSIDAD DE LA SIERRA,TELMEX,10314.38,UNIVERSIDAD DE LA SIERRA DE MOCTEZUMA,29.823617,-109.67851,0.01
3604,DIRECCION GENERAL DE RECAUDACION,TELMEX,473.28,(TZ-45) TORRE FISCAL,27.49709444,-109.9322056,0.01
3683,COORDINACION GENERAL DEL SISTEMA ESTATAL DE COMUNICACION SOCIAL,TOTAL PLAY,5209,PALACIO,29.0746145,-110.9582516,0.01
3761,TELEFONIA RURAL DE SONORA,TELMEX,2404.31,UNIVERSIDAD DE LA SIERRA DE MOCTEZUMA,29.823617,-109.67851,0.01
2856,GENERAL SALVADOR ALVARADO,TELMEX,,SANTA ANA,30.544389,-111.121275,0.01
3684,SECRETARIA TECNICA DE LA MESA DE SEGURIDAD,TELMEX,473.28,PALACIO,29.0746145,-110.9582516,0.01
3722,SEC,TELMEX,2404.31,(TZ-45) TORRE C5 CANANEA,30.98850278,-110.2630333,0.01
2942,MARIA CANDELARIA CARVAJAL ACOSTA,MEGACABLE,,H. AYUNTAMIENTO EMPALME,27.957581,-110.815899,0.01
2992,PLANTEL NAVOJOA,TOTAL PLAY,,PLANTEL NAVOJOA,27.06563326,-109.4497993,0.01
3502,C5I AGUA PRIETA,TELMEX,,(TZ-45) TORRE SUBCENTRO C5 AGUA PRIETA,31.31913889,-109.5580556,0.01
3181,CENTRO DE SALUD BACUM,TELMEX,,CENTRO DE SALUD BACUM,27.5551,-110.085,0.01
2857,DIEGO A MORENO,TELMEX,,(TZ-45) SIN NOMBRE ESPECIFICADO,30.544323,-111.121223,0.01
3500,C5I PUERTO PEÑASCO,TOTAL PLAY,,(TZ-45) TORRE SUBCENTRO C5 PP,31.33396389,-113.52995,0.01
2987,PLANTEL OBREGON II,TOTAL PLAY,,PLANTEL OBREGON II,27.44298964,-109.9249233,0.02
3724,SEC,TELMEX,2404.31,AGENCIA FISCAL,27.082605,-109.447167,0.02
3723,SEC,TELMEX,2404.31,(TZ-45) TORRE C5 GUAYMAS,27.94620556,-110.9342083,0.02
3721,SEC,TELMEX,2404.31,C5 NOGALES,31.29011,-110.951213,0.02
3658,SUBSECRETARIA DE GOBIERNO DIGITAL,TELMEX,2404.31,EDIFICIO HERMOSILLO,29.06771437,-110.9571943,0.02
3564,SECRETARIA / SUBSECRETARIA DE PROMOCION DEL EMPLEO Y PRODUCTIVIDAD,TELMEX,688.79,EDIFICIO HERMOSILLO,29.06771437,-110.9571943,0.02
3701,DIRECCION GENERAL DE INFORMATICA,TELMEX,2404.31,EDIFICIO HERMOSILLO,29.06771437,-110.9571943,0.02
3601,DIRECCION GENERAL DEL SISTEMA DE INFORMACION FINANCIERA,TELMEX,2404.31,EDIFICIO HERMOSILLO,29.06771437,-110.9571943,0.02
3765,TELEFONIA RURAL DE SONORA,TELMEX,2404.31,(TZ-45) TORRE FISCAL,27.49709444,-109.9322056,0.02
3567,DIRECCION GENERAL OPERATIVA DEL SERVICIO ESTATAL DEL EMPLEO,TELMEX,473.28,(TZ-45) TORRE FISCAL,27.49709444,-109.9322056,0.02
3614,SUBSECRETARIA DE INGRESOS,"GSAT COMUNICACIONES, S.A. DE C.V.",3899,BMXDGR,29.07631845,-110.9570658,0.02
3659,DIRECCION GENERAL DE ADMINISTRACION DE RECURSOS HUMANOS,TELMEX,473.28,EDIFICIO HERMOSILLO,29.06771437,-110.9571943,0.02
550,TELESECUNDARIA 198,COMPUPROYECCIONES,,TELESECUNDARIA NO. 198 DE BAVISPE,30.478768,-108.945214,0.02
3503,C5I OBREGON,TELMEX,,TORRE C4,27.52598056,-109.9302889,0.02
3600,DESPACHO DE LA SECRETARIA.,TELMEX,300.86,EDIFICIO SONORA,29.06842354,-110.9572519,0.02
3725,SEC,TELMEX,2404.31,(TZ-30) TORRE HOSPITAL GRAL. HUATABAMPO,26.84247222,-109.6411222,0.02
3232,HOSPITAL COMUNITARIO VICAM PUEBLO,MEGACABLE,,CENTRO DE SALUD VICAM,27.647,-110.296,0.02
3596,DESPACHO DEL SECRETARIO.,TELMEX,688.79,EDIFICIO SONORA,29.06842354,-110.9572519,0.03
3672,DESPACHO DEL CONSEJERO,TELMEX,688.79,EDIFICIO SONORA,29.06842354,-110.9572519,0.03
3593,DIRECCION GENERAL DE REGISTRO CIVIL,TELMEX,343.97,VSERIS,29.064011,-110.955496,0.03
213,GABINO BARREDA,TELMEX,,H. AYUNTAMIENTODE ARIVECHI,28.92847,-109.18732,0.03
3575,COMISION DE BUSQUEDA DE PERSONAS PARA EL ESTADO DE SONORA,TELMEX,892.73,EDIFICIO SONORA,29.06842354,-110.9572519,0.03
3574,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL DE PROTECCION INTEGRAL,TELMEX,473.28,EDIFICIO SONORA,29.06842354,-110.9572519,0.03
3661,DESARROLLO ORGANIZACIONAL,TELMEX,559.48,CGOB,29.06763827,-110.9592655,0.03
2991,PLANTEL SAN IGNACIO RIO MUERTO,TELMEX,,PLANTEL SAN IGNACIO RIO MUERTO,27.40892157,-110.2314224,0.03
3715,INSTITUTO SONORENSE DE CULTURA,TELMEX,473.28,PALACIO,29.0746145,-110.9582516,0.04
3657,SUBSECRETARIA DE RECURSOS MATERIALES Y SERVICIOS,TELMEX,688.79,OFICINA DE TELEFONIA RURAL DE SONORA (EDIFICIO MEXICO),29.06757,-110.95845,0.04
2985,PLANTEL LIC. ALBERTO FLORES URBINA (OBREGON I),TOTAL PLAY,,PLANTEL OBREGON I,27.4776144,-109.9289854,0.04
3436,CLINICA HOSPITAL NOGALES,TELMEX,,(TZ-60) TORRE ISSSTESON,31.29834167,-110.9137,0.04
2973,PLANTEL SAN LUIS RIO COLORADO,TOTAL PLAY,,PLANTEL SAN LUIS RIO COLORADO,32.45172232,-114.751234,0.04
