grupo_institucion,nombre,distancia_torre_estatal_cercana,torre_cercana_coord,proveedor_publico,latitud,longitud,altitud,cluster,dist_centro,score,lat_torre,lon_torre,altitud_torre_cercana,linea_de_vista
seguridad,CENTRO FEDERAL DE READAPTACION SOCIAL,15.54,"28.85721389, -111.3863694",0,28.9716862,-111.2948458,114.0,0,3.5059112496615987,9.438060485573622,28.85721389,-111.3863694,316,True
escuelas,GUADALUPE VICTORIA,40.95,"27.051389, -108.907306",0,26.922778,-108.52,472.0,1,25.413757871626355,24.58573888691053,27.051389,-108.907306,844,True
escuelas,JOSE MA MORELOS,33.75,"30.894625, -109.568311",0,30.826944,-109.223611,840.0,2,0.0338189978184641,31.73798141995588,30.894625,-109.568311,1151,True
escuelas,FRANCISCA MERCEDES MADRID DURAZO,12.3,"29.27303, -110.94341",0,29.37756,-110.902019,332.0,3,0.0780216622860933,12.441903134254796,29.27303,-110.94341,366,True
Salud,CENTRO DE SALUD RURAL IGNACIO ZARAGOZA,15.52,"31.16462, -109.9732",0,31.084488,-110.106732,1499.0,4,2.699654912301757,9.460112222031018,31.16462,-109.9732,1538,True
escuelas,Mesa Colorada,36.45,"27.545293, -109.231119",0,27.571631,-108.8625736,255.0,5,12.35686408987307,21.902368053013934,27.545293,-109.231119,546,True
escuelas,BENITO JUAREZ,12.62,"28.741214, -109.041887",1,28.808333,-108.9375,1193.0,6,0.0792119054851721,12.558790895697442,28.741214,-109.041887,2201,True
escuelas,TELESECUNDARIA 90,25.82,"30.632433, -109.968483",0,30.604722,-110.236389,1050.0,7,0.0252538675545949,30.727850457773517,30.632433,-109.968483,1053,True
escuelas,FLAVIA GALLEGO,16.96,"30.338364, -110.167683",1,30.4375,-110.033333,931.0,8,0.0469331115233746,18.52096212091176,30.338364,-110.167683,853,True
Salud,CENTRO DE SALUD RURAL MAZOCAHUI,17.36,"29.461111, -110.275556",0,29.5378476483324,-110.119401350191,494.0,9,1.4108373870570188,10.699318747376282,29.461111,-110.275556,426,True
Salud,CENTRO DE SALUD RURAL BUENAVISTA,26.34,"27.56626, -109.9411",0,27.8006717845527,-109.902894000906,59.0,10,7.932362324083731,15.854419983817667,27.56626,-109.9411,28,True
Gobierno,SERVICIOS DE SALUD DE SONORA,18.86,"28.766305, -110.769459",0,28.8027979679614,-110.580470243585,388.0,11,0.1262160789898448,14.460256631521634,28.766305,-110.769459,257,True
escuelas,FRANCISCO HOYOS,14.07,"29.998067, -109.775114",0,30.124444,-109.782222,811.0,12,0.1236687252449247,11.650503168811248,29.998067,-109.775114,761,True
escuelas,JARDIN DE NIÑOS NUEVA CREACION,25.95,"30.894625, -109.568311",0,30.662222,-109.592778,1242.0,13,5.771002112113633,15.639300043941516,30.894625,-109.568311,1151,True
Salud,CENTRO DE SALUD RURAL PLAN DE AYALA,21.73,"28.75333, -111.632058",0,28.5696897659656,-111.555835939943,22.0,14,0.093012331068039,17.292761002687087,28.75333,-111.632058,24,True
escuelas,LAS MILPITAS,13.67,"26.842562, -109.641426",0,26.795833,-109.768889,5.0,15,3.6857547018503016,8.31049650501544,26.842562,-109.641426,5,True
escuelas,EL FARITO,16.35,"26.820916667, -109.61855556",1,26.704197,-109.518378,4.0,16,3.1788457675952277,9.93579226454197,26.820916667,-109.61855556,7,True
escuelas,NICOLAS BRAVO,30.9,"29.68636, -108.97802",0,29.841667,-108.7125,1900.0,17,0.0181269253207321,39.45292736770552,29.68636,-108.97802,829,True
