GRUPO,ID,NOMBRE,DIST_KM_TORRE_ESTATAL_MAS_CERCANA,LATITUD,LONGITUD,CLUSTER,DISTANCIA_PROMEDIO_CLUSTER,DISTANCIA_MAXIMA_CLUSTER,DISTANCIA_MAXIMA_REAL,CANTIDAD_INSTITUCIONES,TORRE_ESTATAL_CERCANA,DEPENDENCIA_TORRE_ESTATAL,LATITUD_TORRE_ESTATAL,LONGITUD_TORRE_ESTATAL,LINEA_VISTA,CONEXION_BACKHAUL
ESCUELAS,26DAI0003S,TRIBU GUARIJIO NUM. 1,36.19972574,27.571436,-108.865089,0,1.017804886,2.445465585,2.445465585,8,CERRO MOYAHUI (T.R.),CFE,27.545293,-109.231119,FALSE,SUGERIR REPETIDOR
ESCUELAS,26DAI0008N,GUADALUPE VICTORIA,26.08951,28.392778,-108.66,1,2.513721463,6.428451513,6.428451513,9,H. AYUNTAMIENTO DE YECORA,TELEFONIA RURAL,28.37264,-108.925702,FALSE,SUGERIR REPETIDOR
ESCUELAS,26DST0027X,ESCUELA SECUNDARIA TECNICA NUM. 27,39.32897169,27.400833,-108.845833,2,0.335334543,1.733605594,1.733605594,9,LOS-TANQUES,CFE,27.21055,-108.89006,FALSE,SUGERIR REPETIDOR
ESCUELAS,26DPR0971Q,NICOLAS BRAVO,27.91701706,27.301667,-108.885,3,5.606468356,8.582234204,8.582234204,16,LOS-TANQUES,CFE,27.21055,-108.89006,FALSE,SUGERIR REPETIDOR
ESCUELAS,26DCC0083Y,HNOS FLORES MAGON,15.75144225,27.172778,-108.825278,4,1.956935469,3.913870938,3.913870938,5,LOS-TANQUES,CFE,27.21055,-108.89006,FALSE,SUGERIR REPETIDOR
ESCUELAS,26DCC0291E,ELI BAISE EBOLI,12.19129232,27.625091,-110.417262,5,1.449521445,3.940227783,3.940227783,13,POTAM,CFE,27.625629,-110.417627,TRUE,DIRECTA
ESCUELAS,26DCC0112C,LA PRESITA,24.06122148,27.215,-109.096667,6,0.056609029,0.16412762,0.16412762,5,EL MOCUZARI (CONICARIT),CFE,27.215093,-109.094535,TRUE,DIRECTA
ESCUELAS,26DCC0130S,EL ARROYITO,30.82890946,26.724167,-108.716389,7,3.70205523,6.890299537,6.890299537,15,TAPIZUELAS,CFE,26.66351,-108.864288,FALSE,SUGERIR REPETIDOR
SALUD,SRIMB000120,CENTRO DE SALUD RURAL LOS MUERTOS,19.89741466,26.74101938,-108.9111598,8,3.901272245,9.52962685,9.52962685,13,TAPIZUELAS,CFE,26.66351,-108.864288,TRUE,DIRECTA
ESCUELAS,26DCC0214Z,LA ABEJITA,15.30829301,26.667543,-108.864988,9,2.405085039,7.343580594,7.343580594,6,TAPIZUELAS,CFE,26.66351,-108.864288,TRUE,DIRECTA
ESCUELAS,26DPR0942V,INDEPENDENCIA Y LIBERTAD,29.73883624,26.851944,-108.706111,43,3.512256029,8.012758883,8.012758883,5,TAPIZUELAS,CFE,26.66351,-108.864288,FALSE,SUGERIR REPETIDOR
ESCUELAS,26ETV0361N,TELESECUNDARIA 361,12.43171494,30.79,-112.841944,10,3.248577618,5.672566794,5.672566794,6,ULTIMO-ESFUERZO,CFE,30.79001,-112.84186,TRUE,DIRECTA
ESCUELAS,26DJN0474B,ARIA'AKI,31.57768237,30.935833,-113.006944,11,1.406270196,4.005185268,4.005185268,6,ADOLFO-ORIBE-DE-ALVA,CFE,30.93714,-113.01164,TRUE,DIRECTA
ESCUELAS,26DPR1406B,LUIS JASHIMOTO ENRIQUEZ,27.81188781,32.266994,-114.951228,12,6.963343635,8.692141624,8.692141624,16,EL-FRONTERIZO,CFE,32.27571468,-114.8920264,TRUE,DIRECTA
ESCUELAS,26DPR0687U,JESUS GARCIA,22.29118313,30.730556,-112.395278,13,5.110368573,8.536788063,8.536788063,11,LA-ALMITA,CFE,30.705106,-112.430622,TRUE,DIRECTA
ESCUELAS,26DPR1206D,EMILIANO ZAPATA,29.0158218,30.4825,-112.276667,42,3.452340696,4.632345297,4.632345297,5,JOSEFA-ORTIZ-DE-DOMINGUEZ,CFE,30.590797,-112.41184,TRUE,DIRECTA
ESCUELAS,26DJN0298N,BENJAMIN FRANKLIN,11.97152137,27.628889,-109.966111,14,1.620921515,2.940067823,2.940067823,10,ESPERANZA,CFE,27.56626,-109.9411,TRUE,DIRECTA
ESCUELAS,26DNM0030F,NUEVA CREACION PREESCOLAR NIÑOS MIGRANTES,11.10418244,31.145556,-110.641389,15,0.014000631,0.084003783,0.084003783,7,SANTA CRUZ,TELEMAX,31.237444,-110.595678,FALSE,SUGERIR REPETIDOR
SALUD,SRIMB002104,CENTRO DE SALUD RURAL AGIABAMPO 1,13.16901185,26.36498003,-109.1433381,44,3.38869048,6.539371146,6.539371146,7,CENTRO DE SALUD RURAL DE VENUSTIANO CARRANZA,TELEFONIA RURAL,26.427719,-109.031198,TRUE,DIRECTA
ESCUELAS,26DNM0032D,NUEVA CREACION PREESCOLAR NIÑOS MIGRANTES,29.22137524,30.622222,-111.419722,16,2.172724121,4.221377174,4.221377174,8,PUEBLO-NUEVO-OCUCA,CFE,30.573705,-111.447576,TRUE,DIRECTA
ESCUELAS,26DJN0461Y,USI,21.02924529,27.713611,-109.903333,45,2.800659095,6.780282044,6.780282044,6,ESPERANZA,CFE,27.56626,-109.9411,TRUE,DIRECTA
ESCUELAS,26DJN0494P,EDMUNDO VALADES,10.39731814,27.97,-110.710833,17,2.426774421,4.044624034,4.044624034,6,HEROE-DE-NACOZARI,CFE,27.959147,-110.79165,TRUE,DIRECTA
ESCUELAS,26DCC0055B,IM ILI KARY,20.64524857,27.885833,-110.581667,18,1.480511361,3.285122078,3.285122078,6,PRIM NIÑOS HEROES DE EJ JUNELANCAHUI,TELEFONIA RURAL,28.069167,-110.548444,TRUE,DIRECTA
ESCUELAS,26DNM0007E,NUEVA CREACION PREESCOLAR NIÑOS MIGRANTES,11.34583649,28.245833,-110.649722,46,4.692788972,9.875745795,9.875745795,6,GENERAL-FELIPE-ANGELES,CFE,28.27353,-110.62722,TRUE,DIRECTA
ESCUELAS,26EPR0231V,CUAUHTEMOC,11.38147351,30.883678,-111.464565,19,0.988830498,4.972301215,4.972301215,7,ATIL,TELEMAX,30.847936,-111.576303,FALSE,SUGERIR REPETIDOR
ESCUELAS,26ETV0186Y,JOSE ANGEL HURTADO ACUÑA,10.75579752,29.174393,-110.881263,20,5.462510923,9.625986611,9.625986611,24,MOLINO-DE-CAMOU,CFE,29.196339,-110.7865361,TRUE,DIRECTA
